Category,Title,Description,URL
general,外為12時 円相場が上昇 一時141円台後半 早期の米利下げ観測で - 日本経済新聞,22日午前の東京外国為替市場で、円相場は上昇した。12時時点は1ドル=142円42〜44銭と前日17時時点と比べ83銭の円高・ドル安だった。米経済指標の下振れを受け、米連邦準備理事会（FRB）の早期利下げ観測が強まった。日銀による政策正常化の思惑もくすぶり、将来の日米の金利差縮小を意識した円買い・ドル売りが優勢だった。円は一時141円88銭近辺まで買われ、1週間ぶりの高値をつけた。21日発表,https://www.nikkei.com/article/DGXZQOFL222640S3A221C2000000/
general,“今季最強”冬の嵐 ドカ雪相次ぎ…ポスト埋まる 道の駅で“立ち往生”30台【もっと知りたい！】【グッド！モーニング】(2023年12月22日) - ANNnewsCH,今シーズン最強の寒波が列島に襲来し、日本海側を中心に大雪に見舞われました。22日も、災害級の大雪に警戒が必要です。■“日本で一番の積雪”留萌市…地元の人も驚き　横殴りの雪が降り続いた北海道稚内市。郵便ポストも、自動販売機も、すっぽりと雪に埋もれてしまいました。　積雪が165センチを記録し、21日に日本で一番雪が積...,https://www.youtube.com/watch?v=PjrSkPW3vxc
general,過去に『GTA6』の映像を流出させた青年ハッカーに「無期限入院」命令が下る―高い技能や「サイバー犯罪に復帰しようとする意思」から判断 - Game*Spark,大手企業を標的にしたハッカー集団「Lapsus$」の主要メンバーに、実質的な無期懲役が言い渡されました。,https://www.gamespark.jp/article/2023/12/22/137058.html
general,大谷翔平がNFLスタジアムに登場 ラムズ「17」番ユニのプレゼントにご満悦：中日スポーツ・東京中日スポーツ - 中日新聞,米大リーグ・ドジャース入りした大谷翔平投手（29）が21日（日本時間22日）、ロサンゼルスで行われたアメリカンフットボール（NFL）の...,https://www.chunichi.co.jp/article/826095
general,イスラエルの国家安全にリスク、ガザ攻撃でカナダ首相も懸念表明 - ロイター (Reuters Japan),カナダのトルドー首相は、ガザ攻撃によりイスラエルの長期的な国家の安全にリスクが生じていることを友好国は懸念していると述べた。,https://jp.reuters.com/world/us/HM7VKOZAWRNO7DSLG3PBYSKDLM-2023-12-22/
general,【ポケモンセンターオーサカ】12/23（土）12/24（日）にご来店予定のお客様へ｜ポケモンセンターオーサカ - ポケモンセンター スタッフボイス,ポケモンセンターのスタッフがおとどけ！全国のポケモンセンターのニュースやおすすめ商品をチェック！,https://voice.pokemon.co.jp/stv/osaka/2023/12/post-14096.html
science,「犬の瞳が黒っぽい理由」は人間の好みが反映されたから - ナゾロジー,"イヌの飼い主たちは、きっと「愛犬と見つめ合う」ことが好きでしょう。
確かに多くのイヌたちは黒っぽい優しげな目をしています。しかし、彼らの祖先であるオオカミやこれに近い犬種のハスキー犬などを見ると、まったく目の雰囲気が違うことに気づくはずです。
ではなぜ、イヌたちは黒っぽい瞳を持つようになったのでしょうか？
この問題について帝京科学大学アニマルサイエンス学科に所属する今野 晃嗣氏ら研究チームは、イヌは家畜化に伴い、人間が脅威を感じないよう虹彩の色が濃くなっていった可能性があると報告しています。
研究の詳細は、202…",https://nazology.net/archives/141183
science,「宇宙のクリスマスツリー」、ＮＡＳＡが公開…２５００光年の彼方 - 読売新聞オンライン,【ワシントン＝冨山優介】米航空宇宙局（ＮＡＳＡ）は、クリスマスツリーのように見える星団の画像をウェブサイトで公開した。 　星団は、地球から約２５００光年離れた位置にある誕生から１００万～５００万年の若い恒星の集まり。画,https://www.yomiuri.co.jp/science/20231222-OYT1T50108/
science,スケートボードが爆発的人気競技になった原因はカリフォルニアの「干ばつ」だった！ - ナゾロジー,"スケートボード競技は歪曲した壁面を使って、かなり特殊なトリックを披露します。
普通に考えると、どうやってこんな複雑な競技が誕生して、世界に広まったのか不思議ではないでしょうか？
現在のような立体的な挙動をするスタイルのスケートボード文化の発祥は、1970年代に米西海岸の南カリフォルニアで人気が爆発し、そこから一挙に世界へと広まった事がわかります。
しかしなぜ南カリフォルニアでスケートボードが人気となったのでしょうか？
英ケンブリッジ大学（University of Cambridge）はその最新研究で「干ばつ」が…",https://nazology.net/archives/140967
science,勉強中に特定の“音”を聞くと集中力が向上する可能性を発見 芝浦工業大学などの研究チーム - ITmedia NEWS,・ｽﾅ浦・ｽH・ｽﾆ托ｿｽw・ｽA・ｽO・ｽH・ｽ・ｽ・ｽM・ｽA・ｽX・ｽg・ｽ[・ｽ・ｽ・ｽA・ｽﾌ鯉ｿｽ・ｽ・ｽ・ｽ`・ｽ[・ｽ・ｽ・ｽﾍ、・ｽw・ｽK・ｽﾌ際に難ｿｽ・ｽ・ｽﾌ会ｿｽ・ｽﾅ抵ｿｽ・ｽo・ｽ・ｽ・ｽh・ｽ・ｽ・ｽ・ｽ・ｽ驍ｱ・ｽﾆで、・ｽW・ｽ・ｽ・ｽﾍゑｿｽ・ｽ・ｽ・ｽ繧ｳ・ｽ・ｽ・ｽ・ｽﾂ能・ｽ・ｽ・ｽｭ鯉ｿｽ・ｽ・ｽ・ｽ・ｽ・ｽB,https://www.itmedia.co.jp/news/articles/2312/22/news114.html
